# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 8160 0 0 236859 31251
p 2 0 7219 941 27462 9276
p 2 0 7417 743 36173 9371
p 2 0 6910 1250 39155 8871
p 2 0 6792 1368 37051 8581
p 2 0 7127 1033 43515 9338
p 2 0 7030 1130 49204 9359
p 2 0 6870 1290 38101 8895
p 2 0 7218 942 42203 9487
p 2 0 6900 1260 42121 9034
p 2 0 6356 1804 36887 8401
p 2 0 7293 867 42412 9397
p 2 0 7436 724 45661 9755
p 2 0 6532 1628 46602 8846
p 2 0 6631 1529 38336 8680
p 2 0 7268 892 41368 9410
p 2 0 6989 1171 43963 9187
p 2 0 6642 1518 38921 8631
p 2 0 7294 866 44986 9635
p 2 0 6707 1453 49018 9132
p 2 0 6644 1516 45446 9351
p 2 0 7622 538 50428 10574
p 2 0 6938 1222 52880 9882
p 2 0 7072 1088 43373 9618
p 2 0 7090 1070 47114 9978
p 2 2 7223 935 53856 10354
p 2 0 7120 1040 52757 9893
p 2 0 6221 1939 37192 8187
p 2 0 6943 1217 41483 9249
p 2 0 7294 866 42944 9642
p 2 0 6849 1311 44723 9336
p 2 0 6524 1636 44784 8968
p 2 0 7091 1069 45129 9536
p 2 0 7189 971 44747 9568
p 2 0 7046 1114 49356 9606
p 2 0 6072 2088 37388 8088
p 2 0 7141 1019 41114 9267
p 2 0 6858 1302 43762 9027
p 2 0 6603 1557 40006 8638
p 2 0 7253 907 45975 9673
p 2 0 6794 1366 49676 9168
p 2 0 6415 1745 38041 8340
p 2 0 7101 1059 42268 9318
p 2 0 6978 1182 43759 9071
p 2 0 6537 1623 39770 8518
p 2 0 7245 915 46207 9678
p 2 0 6843 1317 49618 9150
p 2 0 6311 1849 38176 8287
p 2 0 7069 1091 41970 9248
p 2 0 6980 1180 44903 9150
p 2 0 6602 1558 40501 8693
p 2 0 7294 866 46511 9720
p 2 0 6908 1252 49468 9251
p 2 0 6404 1756 38802 8432
p 2 0 7083 1077 42049 9273
p 2 0 7022 1138 44934 9190
p 2 0 6497 1663 40137 8564
p 2 0 7233 927 46033 9607
p 2 0 6948 1212 50125 9323
p 2 0 6475 1685 38132 8416
p 2 0 7089 1071 42153 9310
p 2 0 6947 1213 44399 9038
p 2 0 6520 1640 39813 8580
p 2 0 7237 923 45850 9607
p 2 0 6848 1312 49667 9182
p 2 0 6353 1807 38313 8303
p 2 0 7075 1085 42048 9224
p 2 0 7015 1145 44770 9087
p 2 0 6552 1608 40216 8600
p 2 0 7292 868 45804 9666
p 2 0 6878 1282 49275 9192
p 2 0 6349 1811 38177 8368
p 2 0 7145 1015 42111 9328
p 2 0 7007 1153 44632 9115
p 2 0 6521 1639 39564 8550
p 2 0 7165 995 44771 9484
p 2 0 6730 1430 48019 8971
p 2 0 6701 1459 44349 9360
p 2 0 7155 1005 50571 10115
p 2 0 7429 731 53415 10285
p 2 2 6384 1774 45357 9059
p 2 1 7327 832 48177 10136
p 2 1 7077 1082 52459 9990
i 2 8160 0 0 158337 27990
p 2 39 7603 518 46769 10994
p 2 23 7633 504 52048 11343
p 2 310 7788 62 74081 13257
p 2 12 7801 347 53162 11476
p 2 16 7717 427 47481 11169
p 2 173 7944 43 76215 13106
p 2 13 7828 319 47596 11188
p 2 19 7684 457 52007 11243
p 2 235 7871 54 73233 13003
p 2 16 7841 303 52100 11461
p 2 12 7674 474 46772 11025
p 2 226 7857 77 78625 13179
p 2 20 7808 332 46790 11209
p 2 21 7651 488 51754 11235
p 2 258 7806 96 73401 13060
p 2 13 7759 388 52899 11341
p 2 20 7574 566 46793 10980
p 2 176 7897 87 78998 13038
p 2 18 7792 350 46852 11196
p 2 20 7700 440 51576 10673
p 2 154 7946 60 71921 12849
p 2 10 7891 259 51820 11432
p 2 14 7739 407 46927 11123
p 2 324 7773 63 77599 13349
p 2 24 7755 381 46678 11193
p 2 21 7791 348 52284 11421
p 2 325 7800 35 73686 13279
p 2 18 7809 333 51506 11357
p 2 13 7698 449 46698 11178
p 2 229 7868 63 77626 13246
p 2 14 7787 359 46143 11190
p 2 17 7680 463 51705 11257
p 2 235 7881 44 72847 13037
p 2 15 7787 358 52365 11375
p 2 15 7729 416 46558 11086
p 2 229 7833 98 78287 13177
p 2 15 7810 335 45840 11152
p 2 14 7660 486 50433 10696
p 2 253 7806 101 73217 13085
p 2 22 7725 413 50833 11275
p 2 15 7605 540 45252 10921
p 2 217 7854 89 77775 13174
p 2 9 7796 355 45647 11232
p 2 16 7655 489 50416 11216
p 2 168 7906 86 70341 12822
p 2 14 7846 300 50457 11396
p 2 11 7688 461 45559 11104
p 2 274 7821 65 75651 13216
p 2 12 7775 373 44961 11132
p 2 9 7712 439 50321 11317
p 2 324 7771 65 71079 13282
p 2 10 7783 367 51211 11442
p 2 13 7683 464 45335 11068
p 2 171 7953 36 75441 13067
p 2 13 7824 323 46176 11364
p 2 16 7685 459 50587 11331
p 2 197 7897 66 71723 13048
p 2 12 7758 390 50565 11408
p 2 9 7690 461 45177 11119
p 2 207 7909 44 76715 13206
p 2 12 7806 342 44638 11175
p 2 14 7701 445 49426 11296
p 2 229 7912 19 71599 13172
p 2 9 7789 362 50381 11390
p 2 26 7663 471 44525 11061
p 2 177 7874 109 75473 13057
p 2 11 7857 292 45090 11357
p 2 12 7715 433 49536 10784
p 2 144 7949 67 68616 12921
p 2 11 7825 324 49189 11601
p 2 11 7713 436 46290 11358
i 2 8160 0 0 184863 32448
p 2 1 3192 4967 6744 4228
p 2 33 3884 4243 23406 5851
p 2 1 3990 4169 8565 5058
p 2 22 4736 3402 24854 6625
p 2 2 3265 4893 7405 4350
p 2 29 3810 4321 22523 5615
p 2 2 3384 4774 8541 4495
p 2 3 3312 4845 21329 4988
p 2 2 2764 5394 6183 3751
p 2 28 3936 4196 29048 6075
p 2 1 2984 5175 6950 4016
p 2 8 3053 5099 22350 4974
p 2 1 3359 4800 8814 4469
p 2 16 3533 4611 23567 5406
p 2 2 2985 5173 7353 3986
p 2 62 4005 4093 33115 6509
p 2 2 2670 5488 7086 3730
p 2 21 3094 5045 25147 5127
p 2 7 2492 5661 6680 3600
p 2 26 3107 5027 25472 5169
p 2 3 3766 4391 10163 4899
p 2 54 3259 4847 28086 5582
p 2 6 2476 5678 6790 3583
p 2 6 2778 5376 22636 4685
p 2 3 2479 5678 6991 3566
p 2 3 3038 5119 22966 4926
p 2 1 2388 5771 6631 3463
p 2 53 3156 4951 28605 5598
p 2 3 2797 5360 7257 3846
p 2 12 3383 4765 23469 5329
p 2 1 2973 5186 7454 4013
p 2 5 2790 5365 21594 4670
p 2 1 3045 5114 7340 4060
p 2 12 3296 4852 25917 5300
p 2 2 2286 5872 5664 3343
p 2 4 2771 5385 24521 4752
p 2 0 2649 5511 6597 3677
p 2 13 3511 4636 26463 5561
p 2 1 2420 5739 6339 3499
p 2 16 2604 5540 25481 4737
p 2 1 2828 5331 7392 3903
p 2 34 3081 5045 23132 5093
p 2 2 2310 5848 6162 3359
p 2 24 2668 5468 21741 4565
p 2 2 2288 5870 6120 3299
p 2 32 2688 5440 21767 4569
p 2 6 2038 6116 6435 3168
p 2 16 2833 5311 22604 4701
p 2 14 2392 5754 8312 3620
p 2 46 2847 5267 28874 5194
p 2 10 2286 5864 7998 3558
p 2 22 2501 5637 23181 4629
p 2 18 2688 5454 9607 3990
p 2 27 2760 5373 24741 4916
p 2 14 2224 5922 8375 3480
p 2 72 3340 4748 33972 6004
p 2 16 2008 6136 7516 3301
p 2 25 2611 5524 26205 4819
p 2 10 2081 6069 7343 3307
p 2 23 2742 5395 25929 4871
p 2 9 2426 5725 8456 3643
p 2 50 2414 5696 27955 4899
p 2 5 1816 6339 6811 3027
p 2 13 2574 5573 23007 4564
p 2 6 2049 6105 7152 3269
p 2 6 2181 5973 21668 4157
p 2 6 1877 6277 7074 3116
p 2 59 2042 6059 26710 4600
p 2 4 1506 6650 5465 2717
p 2 16 2153 5991 21150 4131
p 2 3 1614 6543 6179 2821
i 2 8160 0 0 283958 32732
p 2 0 3193 4967 10385 4287
p 2 0 3490 4670 11088 4606
p 2 0 2460 5700 9346 3579
p 2 2 2519 5639 9198 3616
p 2 0 3200 4960 11461 4288
p 2 0 2672 5488 10018 3731
p 2 0 2034 6126 8446 3113
p 2 1 2208 5951 8995 3299
p 2 1 1836 6323 8424 2934
p 2 0 1884 6276 8177 2939
p 2 0 2083 6077 8345 3133
p 2 1 1975 6184 8474 3044
p 2 0 1951 6209 8415 3026
p 2 1 2055 6104 8971 3121
p 2 3 2428 5729 9910 3508
p 2 2 1976 6182 8687 3056
p 2 2 1760 6398 8141 2848
p 2 0 2169 5991 9154 3248
p 2 0 1969 6191 8659 3053
p 2 0 1902 6258 8185 2961
p 2 1 2260 5899 9129 3331
p 2 0 1843 6317 8164 2909
p 2 0 1681 6479 7814 2763
p 2 1 1865 6294 8263 2948
p 2 1 1791 6368 8170 2901
p 2 0 1780 6380 7810 2875
p 2 1 2145 6014 8619 3223
p 2 1 1693 6466 7711 2804
p 2 0 1566 6594 7073 2661
p 2 0 1910 6250 7921 3003
p 2 0 1759 6401 7780 2843
p 2 2 1653 6505 7507 2740
p 2 0 2033 6127 8615 3111
p 2 1 1724 6435 7910 2802
p 2 1 1437 6722 7395 2526
p 2 3 1734 6423 7846 2823
p 2 0 1622 6538 7793 2708
p 2 0 1436 6724 7150 2511
p 2 0 1848 6312 8090 2916
p 2 2 1622 6536 7512 2715
p 2 1 1376 6783 6927 2468
p 2 0 1687 6473 7524 2761
p 2 0 1569 6591 7514 2669
p 2 0 1398 6762 7193 2497
p 2 0 1860 6300 8091 2968
p 2 1 1592 6567 7529 2694
p 2 0 1289 6871 7037 2397
p 2 1 1585 6574 7702 2703
p 2 0 1448 6712 7542 2551
p 2 1 1304 6855 7721 2442
p 2 1 1668 6491 8436 2805
p 2 1 1562 6597 7836 2675
p 2 0 1236 6924 7103 2370
p 2 2 1429 6729 7718 2577
p 2 1 1335 6824 7029 2463
p 2 0 1150 7010 6626 2276
p 2 0 1479 6681 7575 2608
p 2 0 1468 6692 7321 2574
p 2 1 1095 7064 6187 2222
